




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of imaginal disc growth (GO:0045572)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
mitochondrial transport (GO:0006839)	100	0	.73	-	 < 0.01	1.00E00	1.00E00
negative regulation of imaginal disc growth (GO:0045571)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of imaginal disc growth (GO:0045570)	42	0	.31	-	 < 0.01	1.00E00	1.00E00
serotonin transport (GO:0006837)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid transport (GO:0006835)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of protein binding (GO:0043393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
export from the mitochondrion (GO:0170037)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
water transport (GO:0006833)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
import into the mitochondrion (GO:0170036)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial membrane permeability (GO:0035795)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
L-amino acid biosynthetic process (GO:0170034)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitochondrial membrane permeability (GO:0035794)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Rac protein signal transduction (GO:0016601)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pre-mRNA catabolic process (GO:1990261)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
manganese ion transport (GO:0006828)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
iron ion transport (GO:0006826)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
copper ion transport (GO:0006825)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
chloride transport (GO:0006821)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
non-membrane-bounded organelle assembly (GO:0140694)	215	0	1.57	-	 < 0.01	4.12E-01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
subsynaptic reticulum organization (GO:1990255)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to leucine starvation (GO:1990253)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic cytokinesis (GO:0000281)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
nuclear division (GO:0000280)	236	0	1.72	-	 < 0.01	4.23E-01	1.00E00
phosphate ion transport (GO:0006817)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
potassium ion transport (GO:0006813)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
polysaccharide catabolic process (GO:0000272)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
polysaccharide biosynthetic process (GO:0000271)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidoglycan metabolic process (GO:0000270)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
nitric oxide biosynthetic process (GO:0006809)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cholesterol biosynthetic process (GO:0045540)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superoxide metabolic process (GO:0006801)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
response to mycotoxin (GO:0010046)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
transcription elongation-coupled chromatin remodeling (GO:0140673)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial fission (GO:0000266)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
response to iron ion (GO:0010039)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to carbon dioxide (GO:0010037)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of lysosomal lumen pH (GO:0035751)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to acetate (GO:0010034)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome condensation (GO:0010032)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein modification process (GO:0031399)	109	0	.80	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein ubiquitination (GO:0031398)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein ubiquitination (GO:0031397)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein ubiquitination (GO:0031396)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
allantoin catabolic process (GO:0000256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
allantoin metabolic process (GO:0000255)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
wax biosynthetic process (GO:0010025)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication, Okazaki fragment processing (GO:0033567)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex localization (GO:0033566)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex assembly (GO:0000245)	24	0	.18	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex assembly (GO:0000244)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein unfolding (GO:0043335)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in compound eye morphogenesis (GO:0035736)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to dsRNA (GO:0043331)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
intraciliary transport involved in cilium assembly (GO:0035735)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
response to exogenous dsRNA (GO:0043330)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
P450-containing electron transport chain (GO:0140647)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid metabolic process (GO:0033559)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
multicellular organismal response to stress (GO:0033555)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of sevenless signaling pathway (GO:0045501)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
sevenless signaling pathway (GO:0045500)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
intraciliary retrograde transport (GO:0035721)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
intraciliary anterograde transport (GO:0035720)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gastrulation involving germ band extension (GO:0010004)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
cardioblast differentiation (GO:0010002)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
glial cell differentiation (GO:0010001)	39	0	.29	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
N-terminal protein amino acid modification (GO:0031365)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
microtubule cytoskeleton organization (GO:0000226)	347	0	2.54	-	 < 0.01	1.86E-01	1.00E00
isopentenyl diphosphate biosynthetic process, mevalonate pathway (GO:0019287)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial outer membrane translocase complex assembly (GO:0070096)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle organization (GO:0000212)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
S-methylmethionine cycle (GO:0033528)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
astrocyte chemotaxis (GO:0035700)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent endocytosis (GO:0070086)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosylation (GO:0070085)	119	0	.87	-	 < 0.01	1.00E00	1.00E00
positive regulation of defense response (GO:0031349)	131	0	.96	-	 < 0.01	1.00E00	1.00E00
negative regulation of defense response (GO:0031348)	72	0	.53	-	 < 0.01	1.00E00	1.00E00
regulation of defense response (GO:0031347)	212	0	1.55	-	 < 0.01	4.11E-01	1.00E00
protein polyubiquitination (GO:0000209)	97	0	.71	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell projection organization (GO:0031346)	76	0	.56	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell projection organization (GO:0031345)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of vesicle fusion (GO:0031340)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process from serine (GO:0019264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lysosome organization (GO:1905671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylneuraminate catabolic process (GO:0019262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
clustering of voltage-gated calcium channels (GO:0070073)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of vesicle fusion (GO:0031339)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting two-sector ATPase complex assembly (GO:0070071)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of vesicle fusion (GO:0031338)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
proton-transporting V-type ATPase complex assembly (GO:0070070)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein-containing complex assembly (GO:0031334)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of sarcomere organization (GO:0060298)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein-containing complex assembly (GO:0031333)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of sarcomere organization (GO:0060297)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cilium beat frequency involved in ciliary motility (GO:0060296)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cilium movement involved in cell motility (GO:0060295)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular catabolic process (GO:0031330)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
cilium movement involved in cell motility (GO:0060294)	57	0	.42	-	 < 0.01	1.00E00	1.00E00
long-term synaptic depression (GO:0060292)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
long-term synaptic potentiation (GO:0060291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular glucuronidation (GO:0052695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to endosome (GO:1905668)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
central nervous system formation (GO:0021556)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to endosome (GO:1905666)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose 1-phosphate metabolic process (GO:0019255)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
central nervous system morphogenesis (GO:0021551)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
carnitine metabolic process, CoA-linked (GO:0019254)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
follicle cell of egg chamber-cell adhesion (GO:0007299)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
formation of a compartment boundary (GO:0060288)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitellogenesis (GO:0007296)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cilium-dependent cell motility (GO:0060285)	63	0	.46	-	 < 0.01	1.00E00	1.00E00
germarium-derived oocyte fate determination (GO:0007294)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of cell development (GO:0060284)	165	0	1.21	-	 < 0.01	6.36E-01	1.00E00
germarium-derived egg chamber formation (GO:0007293)	98	0	.72	-	 < 0.01	1.00E00	1.00E00
sperm individualization (GO:0007291)	57	0	.42	-	 < 0.01	1.00E00	1.00E00
spermatid nucleus elongation (GO:0007290)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
lactate biosynthetic process (GO:0019249)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate biosynthetic process from pyruvate (GO:0019244)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic actomyosin contractile ring assembly (GO:1903475)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
citrulline biosynthetic process (GO:0019240)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III assembly (GO:0017062)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
neuron cellular homeostasis (GO:0070050)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
spermatid nucleus differentiation (GO:0007289)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of ovulation (GO:0060279)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of double-strand break repair via single-strand annealing (GO:1901291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm axoneme assembly (GO:0007288)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of ovulation (GO:0060278)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Nebenkern assembly (GO:0007287)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
spermatid development (GO:0007286)	123	0	.90	-	 < 0.01	1.00E00	1.00E00
primary spermatocyte growth (GO:0007285)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
spermatogonial cell division (GO:0007284)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
spermatogenesis (GO:0007283)	272	0	1.99	-	 < 0.01	2.71E-01	1.00E00
cystoblast division (GO:0007282)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
cilium assembly (GO:0060271)	144	0	1.05	-	 < 0.01	6.29E-01	1.00E00
positive regulation of FACT complex assembly (GO:1905646)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of FACT complex assembly (GO:1905644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to pheromone (GO:0019236)	33	0	.24	-	 < 0.01	1.00E00	1.00E00
vesicle targeting, to, from or within Golgi (GO:0048199)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
perception of rate of movement (GO:0019232)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proprioception (GO:0019230)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
Golgi vesicle budding (GO:0048194)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi vesicle transport (GO:0048193)	144	0	1.05	-	 < 0.01	6.29E-01	1.00E00
negative regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0017055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Okazaki fragment processing involved in mitotic DNA replication (GO:1903461)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
wing disc dorsal/ventral pattern formation (GO:0048190)	51	0	.37	-	 < 0.01	1.00E00	1.00E00
pole cell formation (GO:0007279)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
7-methylguanosine RNA capping (GO:0009452)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
centripetally migrating follicle cell migration (GO:0060269)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
pole cell fate determination (GO:0007278)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA modification (GO:0009451)	103	0	.75	-	 < 0.01	1.00E00	1.00E00
pole cell development (GO:0007277)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid catabolic process (GO:0009450)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
neuromuscular synaptic transmission (GO:0007274)	57	0	.42	-	 < 0.01	1.00E00	1.00E00
G protein-coupled adenosine receptor signaling pathway (GO:0001973)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ensheathment of neurons (GO:0007272)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, cholinergic (GO:0007271)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription initiation by RNA polymerase II (GO:0060261)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
neuron-neuron synaptic transmission (GO:0007270)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of transcription initiation by RNA polymerase II (GO:0060260)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
neuronal action potential (GO:0019228)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to chromatin (GO:1905634)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transmission of nerve impulse (GO:0019226)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to euchromatin (GO:1905632)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lactate catabolic process (GO:1903457)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
arachidonic acid secretion (GO:0050482)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
amide transport (GO:0042886)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	115	0	.84	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid biosynthetic process (GO:0009449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid metabolic process (GO:0009448)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process (GO:0009446)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
putrescine metabolic process (GO:0009445)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridoxal 5'-phosphate salvage (GO:0009443)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neurotransmitter secretion (GO:0007269)	79	0	.58	-	 < 0.01	1.00E00	1.00E00
regulation of feeding behavior (GO:0060259)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
chemical synaptic transmission (GO:0007268)	221	0	1.62	-	 < 0.01	4.14E-01	1.00E00
glycolate metabolic process (GO:0009441)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-cell signaling (GO:0007267)	278	0	2.03	-	 < 0.01	2.74E-01	1.00E00
Rho protein signal transduction (GO:0007266)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
Ras protein signal transduction (GO:0007265)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	105	0	.77	-	 < 0.01	1.00E00	1.00E00
startle response (GO:0001964)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric oxide mediated signal transduction (GO:0007263)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of glial cell proliferation (GO:0060253)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
synaptic transmission, dopaminergic (GO:0001963)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glial cell proliferation (GO:0060252)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of glial cell proliferation (GO:0060251)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
germ-line stem-cell niche homeostasis (GO:0060250)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cyclic purine nucleotide metabolic process (GO:0052652)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of steroid metabolic process (GO:0019218)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
monoacylglycerol catabolic process (GO:0052651)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of fatty acid metabolic process (GO:0019217)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of short-term neuronal synaptic plasticity (GO:0048172)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
protein localization to ciliary membrane (GO:1903441)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methylglyoxal metabolic process (GO:0009438)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of long-term neuronal synaptic plasticity (GO:0048170)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carnitine metabolic process (GO:0009437)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
glyoxylate catabolic process (GO:0009436)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD biosynthetic process (GO:0009435)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transport (GO:1901264)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
cell surface receptor signaling pathway via JAK-STAT (GO:0007259)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
anatomical structure homeostasis (GO:0060249)	83	0	.61	-	 < 0.01	1.00E00	1.00E00
regulation of cytokine-mediated signaling pathway (GO:0001959)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of neurotransmitter secretion (GO:0001956)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
JNK cascade (GO:0007254)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell-matrix adhesion (GO:0001954)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic sequestering of NF-kappaB (GO:0007253)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell-matrix adhesion (GO:0001953)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
alditol phosphate metabolic process (GO:0052646)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of long-term neuronal synaptic plasticity (GO:0048169)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of neuronal synaptic plasticity (GO:0048168)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
antisense RNA metabolic process (GO:0042868)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic plasticity (GO:0048167)	36	0	.26	-	 < 0.01	1.00E00	1.00E00
pyruvate catabolic process (GO:0042867)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate biosynthetic process (GO:0042866)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of TORC1 signaling (GO:1903432)	43	0	.31	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell maturation (GO:1903431)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell maturation (GO:1903430)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic spindle organization (GO:0060236)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
